I.1 ,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,National Security and Intelligence Review Agency Secretariat, , , , 
I.1 ,Secrétariat des conférences intergouvernementales canadiennes,Canadian Intergovernmental Conference Secretariat, , ,SCIC,CICS
I.1 ,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,Secretariat of the National Security and Intelligence Committee of Parliamentarians,SCPSNR,SNSICP
I.1 ,Service administratif des tribunaux judiciaires,Courts Administration Service,Service administratif des tribunaux judiciaires,Courts Administration Service,SATJ,CAS
I.1 ,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,Administrative Tribunals Support Service of Canada,SCDATA,ATSSC
I.1 ,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,Canadian Security Intelligence Service,SCRS,CSIS
I.1 ,Service correctionnel du Canada,Correctional Service of Canada,Service correctionnel Canada Note de base de page 5,Correctional Service Canada Note de base de page 5,SCC,CSC
I.1 ,Services partagés Canada,Shared Services Canada,Services partagés Canada,Shared Services Canada,SPC,SSC
I.1 ,Statistique Canada,Statistics Canada,Statistique Canada,Statistics Canada,StatCan,StatCan
I.1 ,Tribunal des anciens combattants (révision et appel),Veterans Review and Appeal Board, , ,TACRA,VRAB
II ,Agence Parcs Canada,Parks Canada Agency,Parcs Canada,Parks Canada,PC,PC
II ,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,Canadian Food Inspection Agency,ACIA,CFIA
II ,Agence canadienne pour l'incitation à la réduction des émissions,Canada Emission Reduction Incentives Agency, , , , 
II ,Agence des services frontaliers du Canada,Canada Border Services Agency,Agence des services frontaliers du Canada,Canada Border Services Agency,ASFC,CBSA
II ,Agence du revenu du Canada,Canada Revenue Agency, , ,ARC,CRA
II ,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,Canadian Transportation Accident Investigation and Safety Board,Bureau de la sécurité des transports du Canada,Transportation Safety Board of Canada,BST,TSB
II ,Centre canadien d'hygiène et de sécurité au travail,Canadian Centre for Occupational Health and Safety, , ,CCHST,CCOHS
II ,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,Canadian Nuclear Safety Commission,CCSN,CNSC
II ,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,Canada Employment Insurance Commission,CAEC,CEIC
II ,Commission des champs de bataille nationaux,The National Battlefields Commission,Commission des champs de bataille nationaux Note de base de page 2,The National Battlefields Commission Note de base de page 2,CCBN,NBC
II ,Commission du droit du Canada,Law Commission of Canada,Commission du droit du Canada,Law Commission of Canada, , 
II ,Conseil de recherches en sciences humaines,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines du Canada,Social Sciences and Humanities Research Council of Canada,CRSH,SSHRC
II ,Conseil de recherches en sciences naturelles et en génie,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie du Canada,Natural Sciences and Engineering Research Council of Canada,CRSNG,NSERC
II ,Conseil national de recherches du Canada,National Research Council of Canada,Conseil national de recherches Canada,National Research Council Canada,CNRC,NRC
II ,École de la fonction publique du Canada,Canada School of Public Service, , ,EFPC,CSPS
II ,Instituts de recherche en santé du Canada,Canadian Institutes of Health Research, , ,IRSC,CIHR
II ,Investir au Canada,Invest in Canada Hub, , , , 
II ,Organisation canadienne d'élaboration de normes d'accessibilité,Canadian Accessibility Standards Development Organization,Normes d'accessibilité Canada,Accessibility Standards Canada,NAC,ASC
II ,Régie canadienne de l'énergie,Canadian Energy Regulator,Régie de l'énergie du Canada,Canada Energy Regulator,REC,CER
II ,Station canadienne de recherche dans l’Extrême-Arctique,Canadian High Arctic Research Station,Savoir polaire Canada,Polar Knowledge Canada,POLAIRE,POLAR
III,Administration canadienne de la sûreté du transport aérien,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,Canadian Air Transport Security Authority,ACSTA,CATSA
III,Administration de pilotage de l'Atlantique,Atlantic Pilotage Authority,Administration de pilotage de l'Atlantique Canada,Atlantic Pilotage Authority Canada,APA,APA
III,Administration de pilotage des Grands Lacs,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs Canada,Great Lakes Pilotage Authority Canada,APGL,GLPA
III,Administration de pilotage des Laurentides,Laurentian Pilotage Authority,Administration de pilotage des Laurentides Canada,Laurentian Pilotage Authority Canada,APL,LPA
III,Administration de pilotage du Pacifique,Pacific Pilotage Authority,Administration de pilotage du Pacifique Canada,Pacific Pilotage Authority Canada,APP,PPA
III,Autorité du pont Windsor-Détroit,Windsor-Detroit Bridge Authority,Autorité du pont Windsor-Détroit,Windsor-Detroit Bridge Authority,APWD,WDBA
III,Banque de développement du Canada,Business Development Bank of Canada,Banque de développement du Canada,Business Development Bank of Canada,BDC,BDC
III,Banque de l’infrastructure du Canada,Canada Infrastructure Bank, , , , 
III,Commission canadienne du lait,Canadian Dairy Commission,Commission canadienne du lait,Canadian Dairy Commission,CCL,CDC
III,Commission canadienne du tourisme,Canadian Tourism Commission,Destination Canada,Destination Canada,DC,DC
III,Commission de la capitale nationale,National Capital Commission,Commission de la capitale nationale,National Capital Commission,CCN,NCC
III,Conseil canadien des normes,Standards Council of Canada, , ,SCC-CCN,SCC-CCN
III,Construction de défense (1951) Limitée,Defence Construction (1951) Limited,Construction de Défense Canada,Defence Construction Canada,CDC,DCC
III,Corporation commerciale canadienne,Canadian Commercial Corporation,Corporation commerciale canadienne,Canadian Commercial Corporation,CCC,CCC
III,"Énergie atomique du Canada, Limitée",Atomic Energy of Canada Limited, , ,EACL,AECL
III,Exportation et développement Canada,Export Development Canada,Exportation et développement Canada,Export Development Canada,EDC,EDC
III,Financement agricole Canada,Farm Credit Canada,Financement agricole Canada,Farm Credit Canada,FAC,FCC
III,La Société des ponts fédéraux Limitée,The Federal Bridge Corporation Limited,Société des ponts fédéraux,Federal Bridge Corporation,SPFL,FBCL
III,Les Ponts Jacques-Cartier et Champlain Inc.,The Jacques-Cartier and Champlain Bridges Inc., , , , 
III,Marine Atlantique S.C.C.,Marine Atlantic Inc., , ,MarineAtlantique,MarineAtlantic
III,Musée canadien de l'histoire,Canadian Museum of History,Musée canadien de l'histoire,Canadian Museum of History,MCH,CMH
III,Musée canadien de l'immigration du Quai 21,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,Canadian Museum of Immigration at Pier 21,MCIQ,CMIP
III,Musée canadien de la nature,Canadian Museum of Nature,Musée canadien de la nature,Canadian Museum of Nature,MCN,CMN
III,Musée canadien des droits de la personne,Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,Canadian Museum for Human Rights,MCDP,CMHR
III,Musée des beaux-arts du Canada,National Gallery of Canada,Musée des beaux-arts du Canada,National Gallery of Canada,MBAC,NGC
III,Musée national des sciences et de la technologie,National Museum of Science and Technology,Musée des sciences et de la technologie du Canada,Canada Science and Technology Museum,MSTC,CSTM
III,Office de commercialisation du poisson d'eau douce,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,Freshwater Fish Marketing Corporation,OCPED,FFMC
III,Ridley Terminals Inc.,Ridley Terminals Inc., , , , 
III,Société canadienne d'hypothèques et de logement,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,Canada Mortgage and Housing Corporation,SCHL,CMHC
III,Société canadienne des postes,Canada Post Corporation,Postes Canada,Canada Post,SCP,CPC
III,Société d'assurance-dépôts du Canada,Canada Deposit Insurance Corporation,Société d'assurance-dépôts du Canada,Canada Deposit Insurance Corporation,SADC,CDIC
III,Société immobilière du Canada Limitée,Canada Lands Company Limited, , ,SICL,CLCL
III,VIA Rail Canada Inc.,VIA Rail Canada Inc., , ,VIA Rail,VIA Rail
III Note de base de page 6,Corporation d'investissements au développement du Canada,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,Canada Development Investment Corporation,CDEV,CDEV
III Note de base de page 6,Monnaie royale canadienne,Royal Canadian Mint, , ,Monnaie,Mint
,Aboriginal Business Canada,Entreprise autochtone Canada,,,ABC,EAC
,"Appeal Board, Hazardous Materials Information Review Act","Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses",,, , 
,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,,,CART,CRAC
,Canada Agriculture and Food Museum,Musée de l'agriculture et de l'alimentation du Canada,,,CAFM,MAAC
,Canada Aviation and Space Museum,Musée de l'aviation et de l'espace du Canada,,,CASM,MAEC
,Canada Centre for Inland Waters,Centre canadien des eaux intérieures,,,CCIW,CCEI
,Canada Firearms Centre,Centre des armes à feu Canada,,,CAFC,CAFC
,Canada Industrial Relations Board,Conseil canadien des relations industrielles,,,CIRB,CCRI
,Canada Research Chairs,Chaires de recherche du Canada,,, , 
,Canadian Coast Guard Footnote 1,Garde côtière canadienne Footnote 1,,,CCG,GCC
,Canadian Conservation Institute,Institut canadien de conservation,,,CCI,ICC
,Canadian Intellectual Property Office,Office de la propriété intellectuelle du Canada,,,CIPO,OPIC
,Canadian Museum of Contemporary Photography,Musée canadien de la photographie contemporaine,,, , 
,Canadian War Museum,Musée canadien de la guerre,,,CWM,MCG
,Communications Research Centre Canada,Centre de recherches sur les communications Canada,,,CRC,CRC
,Competition Bureau Canada,Bureau de la concurrence Canada,,,COBU,BUCO
,Defence Research and Development Canada,Recherche et développement pour la Défense Canada,,,DRDC,RDDC
,Environmental Protection Tribunal of Canada,Tribunal de la protection de I'environnement du Canada,,,EPTC,TPEC
,Geographical Names Board of Canada,La commission de toponymie du Canada,,,GNBC,CTC
,Geological Survey of Canada Footnote 5,Commission géologique du Canada Footnote 5,,,GSC,CGC
,Geomatics Canada Footnote 5,Géomatique Canada Footnote 5,,, , 
,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,,,HSMBC,CLMHC
,Human Rights Tribunal of Canada,Tribunal des droits de la personne du Canada,,,HRTC,TDPC
,Indian Residential Schools Resolution Canada,Résolution des questions des pensionnats indiens Canada,,,IRSRC,RQPIC
,Measurement Canada,Mesures Canada,,,MC,MC
,Merchant Seamen Compensation Board Canada,Commission d'indemnisation des marins marchands du Canada,,,MSCB,CIMM
,National Advisory Council on Aging Footnote 4,Conseil consultatif national sur le troisième âge Footnote 4,,,NACA,CCNTA
,National Council of Welfare Footnote 4,Conseil national du Bien-être Footnote 4,,,NCW,CNB
,Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité au travail Canada,,,OHSTC,TSSTC
,Office of the Chief Science Advisor of Canada,Bureau du conseiller scientifique en chef du Canada,,,OCSA,BCSC
,Office of the Superintendent of Bankruptcy Canada,Bureau du surintendant des faillites Canada,,,OSB,BSF
,Passport Canada,Passeport Canada,,,PPTC,PPTC
,Policy Horizons Canada,Horizons de politiques Canada,,,PHC,HPC
,Prairie Farm Rehabilitation Administration Footnote 3,Administration de rétablissement agricole des Prairies Footnote 3,,,PFRA,ARAP
,Public Servants Disclosure Protection Tribunal Canada,Tribunal de la protection des fonctionnaires divulgateurs Canada,,,PSDPTC,TPFDC
,Public Service Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans la fonction publique,,,PSLREB,CRTEFP
,Registry of the Specific Claims Tribunal of Canada,Greffe du Tribunal des revendications particulières du Canada,,,SCT,TRP
,Service Canada,Service Canada,,,ServCan,ServCan
,Ship-source Oil Pollution Fund Footnote 4,Caisse d'indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires Footnote 4,,, , 
,Social Security Tribunal of Canada,Tribunal de la sécurité sociale du Canada,,,SST,TSS
,Statute Revision Commission Canada,Commission de révision des lois Canada,,,SRC,CRL
,Transportation Appeal Tribunal of Canada,Tribunal d'appel des transports du Canada,,,TATC,TATC
